"x"
"i am also"
"and liam if"
"out there reading"
"are out there"
"if you are"
"there reading this"
"you are out"
"liam if you"
"like you to"
"know about this"
"to know about"
"really would like"
"you to know"
"would like you"
"i really would"
"already been changed"
"not need consent"
"consent since the"
"been changed but"
"think in all"
"have already been"
"identifying details have"
"i do not"
"do not need"
"otherwise identifying details"
"i think in"
"and otherwise identifying"
"the names and"
"details have already"
"names and otherwise"
"changed but i"
"need consent since"
"since the names"
"in all fairness"
"but i think"
"it goes onto"
"goes onto amazon"
"read it before"
"with the opportunity"
"the opportunity to"
"be approached with"
"should be approached"
"to read it"
"before it goes"
"it before it"
"approached with the"
"opportunity to read"
"you should be"
"for my lenten"
"my lenten thankfulness"
"lenten thankfulness journal"
"week for my"
"to take some"
"i headed out"
"this morning i"
"early this morning"
"headed out to"
"morning i headed"
"take some pictures"
"out to take"
"to see if"
"was planning on"
"of the spillways"
"the water was"
"still flowing wide"
"on going to"
"flowing wide open"
"to the chickamauga"
"the chickamauga dam"
"it has been"
"i was planning"
"going to the"
"if the water"
"through all of"
"wide open through"
"water was still"
"planning on going"
"open through all"
"the spillways there"
"was still flowing"
"all of the"
"see if the"
"has been recently"
"chickamauga dam to"
"dam to see"
"like it has"
"spillways there like"
"there like it"
"want to say"
"to say i"
"i am inspired"
"am inspired and"
"the posts i"
"inspired and uplifted"
"by the posts"
"i have seen"
"posts i have"
"and uplifted by"
"i want to"
"say i am"
"uplifted by the"
"the testimonies from"
"not just the"
"decorating parts but"
"but the testimonies"
"the decorating parts"
"just the decorating"
"parts but the"
"from the heart"
"testimonies from the"
"the only sermon"
"only sermon someone"
"sometimes your life"
"your life is"
"sermon someone sees"
"is the only"
"life is the"
"i need it"
"and i need"
"have had a"
"a hard time"
"very godly woman"
"not been a"
"it adjusted and"
"adjusted and fast"
"i have not"
"with my attitude"
"lately i have"
"need it adjusted"
"have not been"
"hard time with"
"time with my"
"woman lately i"
"my attitude and"
"attitude and i"
"i have had"
"a very godly"
"had a hard"
"been a very"
"godly woman lately"
"issues lately i"
"i need help"
"sorry for my"
"told the lord"
"my issues lately"
"i am very"
"i told the"
"lately i need"
"very sorry for"
"for my issues"
"the lord i"
"am very sorry"
"lord i am"
"need to pull"
"gospel music out"
"pull my gospel"
"i need to"
"some praise happening"
"get some praise"
"my gospel music"
"and get some"
"music out and"
"out and get"
"to pull my"
"all that he"
"i am for"
"thankful i am"
"need to tell"
"i need to"
"that he has"
"he has done"
"to tell him"
"how thankful i"
"him how thankful"
"done and just"
"am for all"
"just praise him"
"and just praise"
"tell him how"
"for all that"
"has done and"
"t want to"
"much he means"
"before him and"
"too diligent with"
"stand before him"
"say i was"
"this i don"
"want to stand"
"him how much"
"i don t"
"busy to tell"
"been too diligent"
"and say i"
"means to my"
"he means to"
"to stand before"
"to my life"
"how much he"
"to tell him"
"him and say"
"i was too"
"with this i"
"don t want"
"t been too"
"tell him how"
"haven t been"
"diligent with this"
"i haven t"
"was too busy"
"too busy to"
"i will sink"
"him i will"
"without him i"
"with him without"
"my devotional time"
"time with him"
"i need my"
"need my devotional"
"devotional time with"
"him without him"
"ran quickly out"
"jumped up on"
"out to the"
"on a large"
"of the yard"
"and jumped up"
"a large landscaping"
"he ran quickly"
"to the middle"
"large landscaping rock"
"up on a"
"the yard and"
"the middle of"
"middle of the"
"quickly out to"
"yard and jumped"
"the truth i"
"truth i said"
"didn t say"
"i didn t"
"t say the"
"i said facts"
"say the truth"
"without facts there"
"no place for"
"a story to"
"s no place"
"facts there s"
"for a story"
"place for a"
"story to develop"
"there s no"
"enough creative leeway"
"keeps the reader"
"the writer to"
"to spin a"
"story so it"
"has to be"
"the story so"
"of plausible viability"
"viability underlying the"
"underlying the story"
"spin a good"
"plausible viability underlying"
"creative leeway for"
"for the writer"
"balance of plausible"
"be a perfect"
"it keeps the"
"a perfect balance"
"involved coupled with"
"with enough creative"
"a good yarn"
"to be a"
"there has to"
"reader involved coupled"
"the reader involved"
"perfect balance of"
"so it keeps"
"writer to spin"
"coupled with enough"
"leeway for the"
"want to read"
"read the sensational"
"to read the"
"sensational not the"
"not the mundane"
"people want to"
"the sensational not"
"need to believe"
"world around them"
"reading public buys"
"their lives are"
"exciting since their"
"the general reading"
"ordinary and uninteresting"
"they need to"
"general reading public"
"newspapers because they"
"around them is"
"believe the world"
"are ordinary and"
"since their lives"
"is exciting since"
"because they need"
"them is exciting"
"to believe the"
"lives are ordinary"
"the world around"
"public buys newspapers"
"buys newspapers because"
"sh t about"
"always talk sh"
"t about you"
"people will always"
"will always talk"
"talk sh t"
"re beautiful kind"
"matter if you"
"you re beautiful"
"beautiful kind smart"
"t matter if"
"it doesn t"
"if you re"
"doesn t matter"
"kind smart or"
"smart or whatever"
"stalin s mother"
"was about joseph"
"adolf hitler s"
"hitler s mother"
"breivik but it"
"it was about"
"or even the"
"even the mother"
"been more interesting"
"more interesting if"
"but it s"
"mother or adolf"
"interesting if it"
"might have been"
"have been more"
"or adolf hitler"
"of that norwegian"
"norwegian nutcase breivik"
"nutcase breivik but"
"that norwegian nutcase"
"joseph stalin s"
"mother of that"
"film might have"
"the film might"
"mother or even"
"the mother of"
"if it was"
"s mother or"
"about joseph stalin"
"it s not"
"of a middle"
"killer in the"
"the context of"
"it wants to"
"a middle class"
"spree killer in"
"psychopathic spree killer"
"rolling in money"
"context of a"
"class family rolling"
"talk about a"
"middle class family"
"to talk about"
"wants to talk"
"in the context"
"a psychopathic spree"
"about a psychopathic"
"family rolling in"
"misses out on"
"out on the"
"fact it misses"
"on the resolute"
"in fact it"
"types of killers"
"of these types"
"resolute anger of"
"these types of"
"it misses out"
"the resolute anger"
"anger of these"
"not dispassionate psychos"
"probably the most"
"they re probably"
"they re not"
"the most impassioned"
"dispassionate psychos they"
"re probably the"
"re not dispassionate"
"most impassioned psychos"
"psychos they re"
"flour water mixture"
"water mixture cup"
"cup of flour"
"cups of water"
"flour cups of"
"of flour cups"
"mixture cup of"
"mix flour water"
"more water if"
"water if too"
"if too thick"
"the following two"
"fours and lying"
"on all fours"
"spent the following"
"and lying with"
"lying with my"
"with my hips"
"all fours and"
"hips higher than"
"my hips higher"
"following two weeks"
"weeks crawling on"
"higher than my"
"i spent the"
"crawling on all"
"two weeks crawling"
"than my head"
"turned and her"
"by the date"
"of my next"
"next scan the"
"scan the baby"
"the date of"
"had turned and"
"head was engaged"
"her head was"
"baby had turned"
"date of my"
"my next scan"
"the baby had"
"and her head"
"lest we forget"
"concern them we"
"of this her"
"how gorgeous liz"
"her thoughts segway"
"is lest we"
"about the wakefields"
"she s telling"
"them we should"
"that even when"
"s telling elizabeth"
"into a description"
"the story doesn"
"talking about the"
"all of this"
"even when the"
"be talking about"
"telling elizabeth all"
"gorgeous liz is"
"this her thoughts"
"we should in"
"liz is lest"
"should in fact"
"thoughts segway into"
"fact be talking"
"segway into a"
"we forget that"
"elizabeth all of"
"about how gorgeous"
"t actually concern"
"in fact be"
"description about how"
"forget that even"
"doesn t actually"
"while she s"
"when the story"
"actually concern them"
"a description about"
"story doesn t"
"to him being"
"because he ll"
"a possessive dickhead"
"ll freak the"
"gives her shit"
"he ll freak"
"keeps in touch"
"ronnie because he"
"talking to anyone"
"shit for talking"
"him being a"
"who gives her"
"being a possessive"
"and she s"
"of telling ronnie"
"scared of telling"
"freak the fuck"
"the fuck out"
"out due to"
"enid still keeps"
"to anyone male"
"in touch with"
"touch with george"
"possessive dickhead who"
"due to him"
"telling ronnie because"
"george and she"
"she s scared"
"still keeps in"
"s scared of"
"anyone male about"
"for talking to"
"male about anything"
"so enid still"
"with george and"
"about anything ever"
"her shit for"
"fuck out due"
"dickhead who gives"
"lame pillow fight"
"falling onto the"
"have a lame"
"she shows one"
"letters to elizabeth"
"notices one of"
"of his letters"
"onto the bedroom"
"where neither one"
"pillow fight where"
"one of his"
"neither one of"
"and then they"
"his letters to"
"they suddenly have"
"the letters falling"
"the bedroom floor"
"shows one of"
"them notices one"
"one of them"
"one of the"
"a lame pillow"
"fight where neither"
"to elizabeth and"
"elizabeth and then"
"then they suddenly"
"of them notices"
"of the letters"
"letters falling onto"
"suddenly have a"
"hitting the interstates"
"the interstates to"
"airport but now"
"and response vipr"
"the airport but"
"visible intermodal prevention"
"intermodal prevention and"
"now agents are"
"with visible intermodal"
"signature blue uniforms"
"blue uniforms at"
"seeing tsa s"
"prevention and response"
"at the airport"
"uniforms at the"
"fight terrorism with"
"but now agents"
"interstates to fight"
"agents are hitting"
"are hitting the"
"tsa s signature"
"terrorism with visible"
"to fight terrorism"
"s signature blue"
"to seeing tsa"
"what s that"
"pee with company"
"company what s"
"with company what"
"we pee with"
"and i pee"
"out your bagina"
"pee from my"
"pee out your"
"my penis right"
"bagina and i"
"from my penis"
"you pee out"
"your bagina and"
"i pee from"
"penis right mom"
"our diapers right"
"the potty not"
"not our diapers"
"poop in the"
"in the potty"
"potty not our"
"diapers right mom"
"we poop in"
"your poop is"
"poop is stinky"
"a big poop"
"that s a"
"s a big"
"poop is big"
"i bet your"
"is big because"
"so big right"
"butt is so"
"is so big"
"your butt is"
"big because your"
"bet your poop"
"because your butt"
"your poop is"
"for your enjoyment"
"pictures for your"
"here are some"
"some pictures for"
"are some pictures"
"taken during christmas"
"during christmas of"
"kathleen turner prizzi"
"turner prizzi s"
"prizzi s honor"
"louis mo club"
"mo club viva"
"the world in"
"of the world"
"home friday i"
"the way home"
"friday i was"
"beers of the"
"able to swing"
"swing into beers"
"into beers of"
"was able to"
"i was able"
"world in rochester"
"on the way"
"to swing into"
"way home friday"
"brew supplies pretty"
"all beer and"
"huge store all"
"really crazy rare"
"nothing really crazy"
"beer and home"
"pretty decent selection"
"i could see"
"that i could"
"rare at least"
"at least that"
"selection but nothing"
"decent selection but"
"crazy rare at"
"home brew supplies"
"store all beer"
"least that i"
"supplies pretty decent"
"but nothing really"
"and home brew"
"out of they"
"if you want"
"of they have"
"they have it"
"chances out of"
"though chances out"
"it though chances"
"you want it"
"want it though"
"for lunch at"
"of lake keuka"
"a quick stop"
"at the village"
"lake keuka for"
"the way home"
"stop in hammondsport"
"in hammondsport ny"
"just off of"
"hammondsport ny just"
"off of lake"
"the village tavern"
"lunch at the"
"quick stop in"
"home i made"
"on the way"
"village tavern inn"
"keuka for lunch"
"then on the"
"made a quick"
"way home i"
"ny just off"
"i made a"
"i stopped here"
"recommendations of nate"
"stopped here on"
"on the recommendations"
"here on the"
"the recommendations of"
"town bar boasts"
"huge beer and"
"boasts a huge"
"and wine selection"
"small town bar"
"this small town"
"selection and some"
"and some pretty"
"bar boasts a"
"a huge beer"
"beer and wine"
"pretty decent food"
"wine selection and"
"some pretty decent"
"ny wine country"
"town centrally located"
"would be a"
"centrally located in"
"it would be"
"place in a"
"in ny wine"
"located in ny"
"like it would"
"little place in"
"be a fun"
"seems like it"
"a fun little"
"a town centrally"
"fun little place"
"in a town"
"seems like a"
"a great place"
"a weekend getaway"
"great place for"
"it seems like"
"place for a"
"for a weekend"
"like a great"
"i m looking"
"to finding out"
"looking forward to"
"forward to finding"
"m looking forward"
"am a third"
"third degree reiki"
"degree reiki master"
"i am a"
"a third degree"
"entered and for"
"comments they are"
"to everyone who"
"and for all"
"time for yourselves"
"all enjoying the"
"festive season and"
"lovely comments they"
"you are all"
"you to everyone"
"enjoying the festive"
"are truly appreciated"
"you get some"
"for all your"
"some crafty time"
"all your lovely"
"hope you are"
"appreciated and i"
"get some crafty"
"who entered and"
"are all enjoying"
"everyone who entered"
"your lovely comments"
"crafty time for"
"thank you to"
"i hope you"
"they are truly"
"the festive season"
"and you get"
"and i hope"
"truly appreciated and"
"season and you"
"i had several"
"missions trips to"
"several opportunities to"
"to go on"
"on missions trips"
"opportunities to go"
"to different places"
"had several opportunities"
"go on missions"
"trips to different"
"growing up i"
"up i had"
"a mission and"
"and learning a"
"of different populations"
"of my more"
"populations in the"
"youth with a"
"a drama and"
"with a mission"
"ywam youth with"
"going to mexico"
"in front of"
"front of different"
"was going to"
"with ywam youth"
"my more intense"
"mission and learning"
"more intense mission"
"experiences was going"
"different populations in"
"to mexico with"
"mexico with ywam"
"mission experiences was"
"performing in front"
"learning a drama"
"and performing in"
"drama and performing"
"in the area"
"intense mission experiences"
"one of my"
"performed our drama"
"was incredibly poor"
"there was one"
"that was when"
"and that was"
"was when our"
"was one day"
"a puppet show"
"our team went"
"but there was"
"our drama and"
"that i remember"
"the most among"
"a rural area"
"to a community"
"days and that"
"area performed our"
"puppet show to"
"rural area performed"
"remember the most"
"most among all"
"day that i"
"a community that"
"to a rural"
"and a puppet"
"community that was"
"among all those"
"drama and a"
"i remember the"
"one day that"
"that was incredibly"
"all those days"
"team went to"
"when our team"
"went to a"
"show to a"
"those days and"
"there until the"
"to eat the"
"in the day"
"pouring rain and"
"to the bus"
"eat the tuna"
"the pouring rain"
"had prepared earlier"
"bus to eat"
"i remember coming"
"coming back to"
"in the pouring"
"we had prepared"
"were there until"
"late evening performing"
"earlier in the"
"we were there"
"the late evening"
"prepared earlier in"
"and i remember"
"sandwiches that we"
"back to the"
"evening performing in"
"fish sandwiches that"
"tuna fish sandwiches"
"remember coming back"
"rain and i"
"performing in the"
"the tuna fish"
"that we had"
"the bus to"
"until the late"
"was late and"
"could pass them"
"cold tuna sandwich"
"i heard one"
"to eat the"
"the mission team"
"so that he"
"to give up"
"mission team members"
"out to the"
"up their sandwich"
"i was hungry"
"come to watch"
"everyone to give"
"when i heard"
"pass them out"
"them out to"
"ready to eat"
"hungry since it"
"and was getting"
"tuna sandwich when"
"who had come"
"of the mission"
"sandwich when i"
"team members jyc"
"yelling to everyone"
"had come to"
"it was late"
"he could pass"
"members jyc yelling"
"one of the"
"the cold tuna"
"heard one of"
"the children who"
"sandwich so that"
"jyc yelling to"
"late and was"
"give up their"
"was hungry since"
"to the children"
"their sandwich so"
"since it was"
"was getting ready"
"getting ready to"
"eat the cold"
"to everyone to"
"that he could"
"children who had"
"of tuna sandwiches"
"a bag of"
"his hand yelling"
"boy perched on"
"his shoulders a"
"on his shoulders"
"the mission team"
"shoulders a bag"
"to give up"
"so that we"
"turned and saw"
"up our dinner"
"perched on his"
"give up our"
"mission team to"
"with a young"
"hand yelling at"
"at the mission"
"tuna sandwiches in"
"bag of tuna"
"a young boy"
"yelling at the"
"feed the children"
"sandwiches in his"
"saw him with"
"that we could"
"in his hand"
"dinner so that"
"could feed the"
"him with a"
"we could feed"
"young boy perched"
"and saw him"
"our dinner so"
"i turned and"
"team to give"
"to eat the"
"so guilty at"
"to give it"
"so much yet"
"yet felt compelled"
"give it to"
"sandwich so much"
"the sandwich so"
"felt compelled to"
"at that moment"
"moment wanting to"
"guilty at that"
"felt so guilty"
"to a hungry"
"i felt so"
"it to a"
"that moment wanting"
"eat the sandwich"
"much yet felt"
"a hungry child"
"wanting to eat"
"compelled to give"
"miss if we"
"way in back"
"would normally miss"
"normally miss if"
"but this might"
"be the one"
"center but this"
"to the mission"
"if we didn"
"was that we"
"might be the"
"this might be"
"something on our"
"could eat something"
"them our sandwiches"
"the mission center"
"logic was that"
"we could eat"
"the one meal"
"on our way"
"back to the"
"in back to"
"s logic was"
"one meal that"
"that we could"
"the kids would"
"kids would normally"
"t give them"
"meal that the"
"didn t give"
"that the kids"
"we didn t"
"jyc s logic"
"eat something on"
"give them our"
"our way in"
"mission center but"
"dixie cups iko"
"cups iko iko"
"panama is a"
"that this year"
"trip to panama"
"for me to"
"to panama is"
"is a new"
"s trip to"
"this year s"
"new opportunity for"
"opportunity for me"
"a new opportunity"
"out that this"
"year s trip"
"to do just"
"turns out that"
"me to do"
"it turns out"
"do just that"
"that went to"
"installed new water"
"previous years the"
"and held festivals"
"new water systems"
"festivals for the"
"went to panama"
"to panama have"
"systems and held"
"for the local"
"water systems and"
"the local children"
"years the students"
"students that went"
"have installed new"
"held festivals for"
"panama have installed"
"the students that"
"in previous years"
"are wonderful this"
"year s mission"
"mission touched my"
"this year s"
"wonderful this year"
"of those things"
"while both of"
"touched my heart"
"both of those"
"things are wonderful"
"those things are"
"s mission touched"
"trip will be"
"the group that"
"with an organization"
"year the group"
"on the trip"
"literacy education and"
"eradicate child labor"
"that works to"
"goes on the"
"through literacy education"
"will be partnering"
"labor through literacy"
"that goes on"
"group that goes"
"partnering with an"
"casa esperanza that"
"this year the"
"called casa esperanza"
"education and nutrition"
"to help eradicate"
"help eradicate child"
"an organization called"
"child labor through"
"organization called casa"
"the trip will"
"be partnering with"
"esperanza that works"
"works to help"
"the instructions easy"
"easy to follow"
"were the instructions"
"instructions easy to"
"were super easy"
"the instructions were"
"instructions were super"
"there was more"
"more to say"
"say about samir"
"i felt there"
"was more to"
"felt there was"
"to say about"
"who has been"
"student who has"
"teenagers saw a"
"thought what if"
"the beach one"
"two teenagers saw"
"to live and"
"has been refused"
"man turns out"
"him out of"
"of the sea"
"be a poor"
"on the beach"
"near where my"
"the man turns"
"out to be"
"been refused asylum"
"island near where"
"a poor tortured"
"a boat and"
"pulled him out"
"out of a"
"day on hayling"
"on hayling island"
"beach one day"
"a man thrown"
"turns out to"
"and the man"
"sea and the"
"man thrown out"
"poor tortured student"
"and pulled him"
"saw a man"
"thrown out of"
"and i thought"
"where my parents"
"out of the"
"was walking on"
"if two teenagers"
"used to live"
"parents used to"
"i thought what"
"to be a"
"one day on"
"what if two"
"my parents used"
"live and i"
"boat and pulled"
"the sea and"
"tortured student who"
"hayling island near"
"of a boat"
"walking on the"
"i was walking"
"and what if"
"what if one"
"what would they"
"of the teenagers"
"if one of"
"one of the"
"the teenagers was"
"they do and"
"teenagers was samir"
"would they do"
"do and what"
"kind of blog"
"that kind of"
"conditions of his"
"to is the"
"the conditions of"
"is that ai"
"ai is free"
"free but he"
"what the conversation"
"due to the"
"is really only"
"to the conditions"
"move to is"
"reality is that"
"of his release"
"he is really"
"the conversation should"
"is the new"
"that ai is"
"free due to"
"really only half"
"new reality is"
"half free due"
"is free but"
"the new reality"
"conversation should move"
"only half free"
"should move to"
"but he is"
"audience in since"
"reality that s"
"this is a"
"for the media"
"media to interest"
"it he is"
"is a concept"
"the face of"
"on the face"
"and this is"
"broad audience in"
"he is free"
"concept and reality"
"in since on"
"hard for the"
"to interest a"
"a broad audience"
"interest a broad"
"of it he"
"the media to"
"a concept and"
"face of it"
"and reality that"
"since on the"
"s hard for"
"that s hard"
"s freedom of"
"picking up on"
"or blog his"
"that s a"
"outlets are picking"
"a travesty not"
"s not allowed"
"meaningful he s"
"speech has been"
"many media outlets"
"and that s"
"eliminated and that"
"to talk to"
"nixed he s"
"not too many"
"been eliminated and"
"public voice has"
"freedom of speech"
"not allowed to"
"has essentially been"
"allowed to talk"
"talk to media"
"ai s freedom"
"anything meaningful he"
"voice has essentially"
"media outlets are"
"too many media"
"allowed to tweet"
"s a travesty"
"he s not"
"travesty not too"
"essentially been eliminated"
"his public voice"
"are picking up"
"has been essentially"
"essentially nixed he"
"media about anything"
"to media about"
"of speech has"
"been essentially nixed"
"to tweet or"
"tweet or blog"
"blog his public"
"about anything meaningful"
"s freedom of"
"has been significantly"
"additionally ai s"
"been significantly curtailed"
"ai s freedom"
"of travel has"
"travel has been"
"freedom of travel"
"s not allowed"
"leave the country"
"artist of his"
"heavy burden for"
"not allowed to"
"of his stature"
"is a heavy"
"which is a"
"a heavy burden"
"country which is"
"for an artist"
"the country which"
"allowed to leave"
"he s not"
"burden for an"
"to leave the"
"an artist of"
"he cannot even"
"cannot even leave"
"leave beijing without"
"beijing without permission"
"even leave beijing"
"in debt to"
"essentially belongs to"
"debt to china"
"his labor essentially"
"that his labor"
"so far in"
"far in debt"
"now so far"
"ai is now"
"to the government"
"to china that"
"china that his"
"belongs to the"
"labor essentially belongs"
"is now so"
"at any time"
"the fact that"
"government could send"
"limit his art"
"real reason at"
"the terms of"
"time for no"
"the big brother"
"fact that the"
"could send him"
"bail seem to"
"significant ways not"
"itself and the"
"that the big"
"art practice in"
"to limit his"
"big brother government"
"practice in very"
"in very significant"
"no real reason"
"there at any"
"his bail seem"
"of his bail"
"arrest itself and"
"of the arrest"
"to mention the"
"ordeal of the"
"very significant ways"
"for no real"
"reason at all"
"not to mention"
"mention the ordeal"
"him back there"
"and the fact"
"terms of his"
"ways not to"
"the arrest itself"
"so the terms"
"any time for"
"send him back"
"brother government could"
"his art practice"
"seem to limit"
"back there at"
"the ordeal of"
"end up what"
"up what people"
"was popularized by"
"sun paradox has"
"s and was"
"by carl sagan"
"the s and"
"the dilemma called"
"been know about"
"young sun paradox"
"dilemma called the"
"popularized by carl"
"called the faint"
"paradox has been"
"the faint young"
"about since the"
"and was popularized"
"has been know"
"since the s"
"know about since"
"faint young sun"
"for answers all"
"have wrestled for"
"answers all these"
"and solar physicists"
"all these years"
"physicists have wrestled"
"geochemists and solar"
"wrestled for answers"
"solar physicists have"
"my books were"
"my hallelujah my"
"me my books"
"fabulous turnout at"
"week for me"
"turnout at my"
"hallelujah my novels"
"released in print"
"books were released"
"print form i"
"i had a"
"an exciting week"
"were released in"
"had a fabulous"
"in print form"
"this has been"
"form i had"
"exciting week for"
"have finally been"
"my novels have"
"has been an"
"at my hallelujah"
"been an exciting"
"a fabulous turnout"
"novels have finally"
"for me my"
"finally been published"
"as kindle books"
"call it when"
"or whatever you"
"and now my"
"party and now"
"have been kindled"
"when they are"
"books have been"
"it when they"
"whatever you call"
"are made available"
"kindled or whatever"
"now my books"
"been kindled or"
"made available as"
"you call it"
"available as kindle"
"my books have"
"they are made"
"time i give"
"by the time"
"but it took"
"feel as if"
"party the kindle"
"as if that"
"of months to"
"i almost feel"
"if that calls"
"that calls for"
"books will be"
"be old news"
"me a couple"
"so by the"
"the kindle books"
"another party but"
"the party the"
"party but it"
"first so by"
"plan the first"
"calls for another"
"it took me"
"give the party"
"months to plan"
"kindle books will"
"to plan the"
"couple of months"
"almost feel as"
"i give the"
"the first so"
"took me a"
"for another party"
"will be old"
"a couple of"
"the time i"
"i ll wait"
"wait until my"
"year to throw"
"this year to"
"throw another cyberparty"
"until my third"
"to throw another"
"guess i ll"
"comes out later"
"ll wait until"
"out later this"
"book comes out"
"i guess i"
"my third book"
"later this year"
"third book comes"
"release of the"
"be fun planning"
"find the release"
"think people will"
"as exciting as"
"book quite as"
"quite as exciting"
"third book quite"
"it though to"
"the dual release"
"though to be"
"don t think"
"i don t"
"t think people"
"of a third"
"honest i don"
"as the dual"
"should be fun"
"release of a"
"to be honest"
"a third book"
"will find the"
"dual release of"
"fun planning it"
"be honest i"
"the first two"
"the release of"
"exciting as the"
"planning it though"
"people will find"
"of the first"
"of course by"
"am a celebrated"
"course by then"
"a celebrated author"
"by then i"
"then i am"
"unless of course"
"i am a"
"not just me"
"i mean not"
"celebrated by others"
"others i mean"
"mean not just"
"by others i"
"of my radio"
"m going to"
"to start uploading"
"going to start"
"start uploading some"
"i m going"
"to mixcloud in"
"shows to mixcloud"
"some of my"
"the weeks to"
"mixcloud in the"
"uploading some of"
"in the weeks"
"weeks to come"
"radio shows to"
"my radio shows"
"on that later"
"more on that"
"started being treated"
"rape started being"
"as the unforgivable"
"treated as the"
"than just a"
"is rather than"
"symptom of war"
"rather than just"
"it s high"
"being treated as"
"high time that"
"the unforgivable atrocity"
"just a symptom"
"time that rape"
"it is rather"
"atrocity it is"
"unforgivable atrocity it"
"that rape started"
"s high time"
"a symptom of"
"week i would"
"the lack there"
"on diets or"
"or the lack"
"like to focus"
"focus on diets"
"lack there of"
"this week i"
"to focus on"
"would like to"
"diets or the"
"i would like"
"evil for you"
"are with me"
"no evil for"
"i fear no"
"you are with"
"for you are"
"fear no evil"
"afflicted tongue the"
"milk is the"
"almond milk is"
"soothing a chill"
"together ground almonds"
"tongue the nutty"
"the best antidote"
"by blending together"
"for soothing a"
"drink made by"
"ground almonds and"
"a chill afflicted"
"the nutty drink"
"best antidote for"
"blending together ground"
"nutty drink made"
"almonds and water"
"made by blending"
"chill afflicted tongue"
"is the best"
"antidote for soothing"
"horchata almond milk"
"have been in"
"and bishop especially"
"prayers of the"
"continued intercession of"
"of the apostolic"
"in my home"
"workers at the"
"privileged to serve"
"blessed virgin mary"
"the continued intercession"
"upon the continued"
"to serve in"
"the diocese of"
"mary and the"
"virgin mary and"
"serve in the"
"the blessed virgin"
"bishop especially in"
"la crosse and"
"the past and"
"of the blessed"
"now privileged to"
"at the supreme"
"my home diocese"
"supreme tribunal of"
"the many faithful"
"in the past"
"curia especially my"
"of the many"
"count upon the"
"blessed to serve"
"have been blessed"
"many faithful whom"
"the roman curia"
"archdiocese of saint"
"faithful whom i"
"with whom i"
"louis and of"
"saint louis and"
"diocese the diocese"
"in the archdiocese"
"i count upon"
"the apostolic signatura"
"am now privileged"
"in the roman"
"whom i have"
"diocese of la"
"those with whom"
"intercession of the"
"and of those"
"home diocese the"
"especially in my"
"saints and the"
"past and am"
"tribunal of the"
"of saints and"
"as priest and"
"roman curia especially"
"priest and bishop"
